rank,stock_id,name,industry_category,entry_score,entry_signal,close,open,high,low,volume,volume_ratio,rsi14,adx14,atr14,macd,macd_hist,bb_pct_b,stoch_k,stoch_d,ema20,ema60,foreign_buy_streak,invest_trust_streak,dealer_buy_streak,foreign_net,invest_trust_net,dealer_net,f_score,condition_count,margin_change_5d,short_ratio,relative_strength_5d,return_5d,day_return,momentum_score,revenue_yoy,revenue_mom,entry_reason,skip_reason,limit_down_streak
1,2476,鉅祥,,1909.7460771145545,False,131.0,126.5,133.0,123.0,12057370,2.087523158966728,69.6159826028863,23.296057946013743,6.76257064396319,4.630480174806024,0.2956723527982845,1.279817240160327,90.47619047619048,81.0404505888376,117.7363726709292,106.45346870241455,0.0,1.0,3.0,-1396507.0,167000.0,314305.0,-1,17,,,0.055747875788737,0.1391304347826087,0.0522088353413654,45.4,,,"macd_golden_cross, above_ema60, ema60_gt_ema120, volume_break, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, hist_turn_positive, adx_trending, stronger_than_market, obv_uptrend, dealer_buy_3d, bb_squeeze_breakout, breakout_volume_confirm, mfi_strong, above_ichimoku_cloud",,
2,2312,金寶,,1738.1789354354212,False,40.0,40.0,40.0,38.25,210267926,3.205499273239588,79.75601550668961,35.3180544582683,1.911255121342918,2.364384634335547,0.9272608571331606,1.319355992342906,100.0,100.0,30.233154123928788,27.16812687458908,8.0,0.0,5.0,30455390.0,-2772000.0,674469.0,-1,15,,,0.3580588824475696,0.4414414414414414,0.098901098901099,77.2,,,"above_ema60, ema60_gt_ema120, volume_break, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, foreign_buy_3d, adx_trending, stronger_than_market, obv_uptrend, dealer_buy_3d, breakout_volume_confirm, mfi_strong, above_ichimoku_cloud",,
3,3321,同泰,,1735.6327542287677,False,18.2,16.55,18.2,16.25,1623857,3.723443906502602,66.10835070696682,22.78232269711598,0.7896032531753359,0.0431144526071634,0.1590017784604294,1.1988922854158244,100.0,74.31384873245345,16.202676795282244,16.464442712527163,3.0,0.0,0.0,345029.0,0.0,-23641.0,-1,15,,,0.106159924666259,0.1895424836601307,0.0996978851963745,69.9,,,"above_ema60, ema60_gt_ema120, volume_break, rsi_strong, breakout_20d, market_above_ma60, foreign_buy_3d, adx_trending, stronger_than_market, obv_uptrend, bb_squeeze_breakout, breakout_volume_confirm, cci_momentum, mfi_strong, above_ichimoku_cloud",,
4,3189,景碩,,1730.4432986485194,False,696.0,670.0,719.0,654.0,50429815,1.6728665707655814,77.49070338174106,31.380374220367763,44.01699393801334,52.05764956647977,14.661278240972765,1.2031858391361625,91.11969111969113,97.03989703989708,535.9996576368376,433.0538496117768,1.0,8.0,0.0,4397554.0,2307000.0,-124672.0,-1,15,,,0.2733425872049586,0.3567251461988303,0.0403587443946187,52.9,,,"above_ema60, ema60_gt_ema120, volume_break, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, adx_trending, stronger_than_market, obv_uptrend, invest_trust_buy_2d, bb_squeeze_breakout, breakout_volume_confirm, mfi_strong, above_ichimoku_cloud",,
5,2369,菱生,,1726.9013810402969,False,37.7,37.1,37.7,36.65,58300950,3.5004637333384654,70.18039553260388,17.954297851913292,1.999913880955377,0.7396860021338831,0.5850604957667902,1.285872210764378,100.0,93.6458641427586,31.47291397417548,30.048680830771875,5.0,0.0,4.0,9791750.0,0.0,413138.0,-1,15,,,0.239424458549988,0.3228070175438597,0.0991253644314871,78.0,,,"above_ema60, ema60_gt_ema120, volume_break, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, foreign_buy_3d, stronger_than_market, obv_uptrend, dealer_buy_3d, bb_squeeze_breakout, breakout_volume_confirm, mfi_strong, above_ichimoku_cloud",gap_chase_after_blowout,
6,2344,華邦電,,1716.530541576355,False,141.0,133.5,141.0,133.0,336105421,1.4543426212562078,68.83559914775121,25.3253712631802,9.32564360742355,8.325203027135387,1.576390891978778,0.9532893614843142,100.0,73.46938775510232,117.259710419587,106.40288616465932,3.0,2.0,4.0,46872727.0,4364455.0,2637093.0,-1,15,,,0.1166174410061282,0.1999999999999999,0.0972762645914397,44.0,,,"above_ema60, ema60_gt_ema120, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, foreign_buy_3d, adx_trending, stronger_than_market, obv_uptrend, invest_trust_buy_2d, dealer_buy_3d, cci_momentum, mfi_strong, above_ichimoku_cloud",gap_chase_after_blowout,
7,2421,建準,,1707.9730031294966,False,165.0,164.0,166.5,160.0,11117950,1.61061213611843,69.50102076244438,16.412034219423827,6.870988603789375,3.918474457092316,1.7702881754018307,1.1243860111449122,95.23809523809524,88.80130433610914,149.7554523697547,146.17912445446393,4.0,6.0,0.0,556363.0,879000.0,-16595.0,-1,15,,,0.0545484754888869,0.1379310344827586,0.0153846153846153,34.1,,,"above_ema60, ema60_gt_ema120, volume_break, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, foreign_buy_3d, stronger_than_market, obv_uptrend, invest_trust_buy_2d, bb_squeeze_breakout, breakout_volume_confirm, mfi_strong, above_ichimoku_cloud",,
8,2467,志聖,,1690.7559654968877,False,668.0,670.0,692.0,661.0,4304760,1.2896974839160813,64.95855703846175,30.22502433489205,44.40889376552987,32.951424727505696,1.654476249291676,1.0227177030679095,83.44827586206897,78.75948818043798,588.818306009277,496.31799776082016,2.0,0.0,3.0,27282.0,-28000.0,28995.0,-1,15,,,0.0763396632283506,0.1597222222222223,0.0075414781297133,34.7,,,"macd_golden_cross, above_ema60, ema60_gt_ema120, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, hist_turn_positive, adx_trending, stronger_than_market, obv_uptrend, dealer_buy_3d, bb_squeeze_breakout, mfi_strong, above_ichimoku_cloud",long_upper_shadow,
9,3026,禾伸堂,,1655.1799755650038,False,570.0,523.0,570.0,471.0,3383416,0.3814593610746013,88.16350901354262,53.53925429200128,34.6770139671986,76.04358417200928,20.88677642886735,1.0922133765437043,100.0,99.8397435897441,368.5950101244673,255.3427027420173,15.0,6.0,4.0,265017.0,600000.0,36299.0,-1,14,,,0.4782612766225667,0.5616438356164384,0.089866156787763,39.1,,,"above_ema60, ema60_gt_ema120, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, foreign_buy_3d, adx_trending, stronger_than_market, obv_uptrend, invest_trust_buy_2d, dealer_buy_3d, mfi_strong, above_ichimoku_cloud",,
10,4919,新唐,,1646.695116820655,False,211.0,226.0,230.0,206.0,57485904,1.938500880976373,69.68114202900412,29.981697243611357,15.416410722702247,18.65937421565934,3.233662908310386,1.0021552814360908,78.77094972067039,92.9236499068902,169.93169581871717,132.4296139375626,4.0,6.0,0.0,2341775.0,45000.0,-617139.0,-1,14,,,0.323284107672795,0.4066666666666667,-0.0365296803652968,59.7,,,"above_ema60, ema60_gt_ema120, volume_break, rsi_strong, market_above_ma60, liquidity_ok, foreign_buy_3d, adx_trending, stronger_than_market, obv_uptrend, invest_trust_buy_2d, bb_squeeze_breakout, mfi_strong, above_ichimoku_cloud","open_high_close_low, gap_chase_after_blowout",
11,2492,華新科,,1643.7799829306466,False,328.5,303.0,330.0,289.5,14055050,0.7081220371615581,88.26496545652964,45.7188366402366,17.705209814631825,42.66367734304086,14.524276939612392,1.024712494068154,98.80478087649402,99.60159362549771,221.47868184556003,171.14797979842407,10.0,6.0,6.0,2614415.0,379000.0,454448.0,-1,14,,,0.4097992591879464,0.4931818181818181,0.0217729393468117,38.1,,,"above_ema60, ema60_gt_ema120, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, foreign_buy_3d, adx_trending, stronger_than_market, obv_uptrend, invest_trust_buy_2d, dealer_buy_3d, mfi_strong, above_ichimoku_cloud",,
12,3025,星通,,1631.393545862876,False,78.8,85.0,85.0,74.2,7419415,6.313669001078812,77.93442185481098,21.894257050620336,3.654183227999366,2.67909816258873,1.8700926334572272,1.1769313827241343,77.03703703703702,92.3456790123455,65.39289243977714,62.94203064992704,4.0,0.0,0.0,149972.0,0.0,-11638.0,-1,14,,,0.2636259880146752,0.3470085470085469,0.0089628681177977,77.0,,,"above_ema60, ema60_gt_ema120, volume_break, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, foreign_buy_3d, adx_trending, stronger_than_market, obv_uptrend, breakout_volume_confirm, mfi_strong, above_ichimoku_cloud","open_high_close_low, gap_chase_after_blowout",
13,2484,希華,,1611.5398832128585,False,56.0,54.7,56.8,50.4,44955078,2.7800227386975296,73.68245556748433,33.12009534809918,3.5482370624705912,3.5764528831128715,1.341861994336945,1.168661337128954,96.0880195599022,98.69600651996734,43.77345491474381,37.3164951566437,3.0,0.0,0.0,96447.0,0.0,-76953.0,-1,14,,,0.3061956047778404,0.3895781637717121,0.033210332103321,75.1,,,"above_ema60, ema60_gt_ema120, volume_break, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, foreign_buy_3d, adx_trending, stronger_than_market, obv_uptrend, breakout_volume_confirm, mfi_strong, above_ichimoku_cloud",,
14,2493,揚博,,1605.5158895234122,False,163.5,155.5,163.5,153.0,13254705,3.502776577089564,71.01013346133443,19.49177889144743,8.73775917418427,5.902845627354679,2.0814076615125785,1.2812680213552752,100.0,85.12776342233701,136.09724284644784,125.93307768938628,4.0,0.0,0.0,1234404.0,0.0,-29876.0,-1,14,,,0.1599634486106911,0.2433460076045628,0.0973154362416106,78.0,,,"above_ema60, ema60_gt_ema120, volume_break, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, foreign_buy_3d, stronger_than_market, obv_uptrend, bb_squeeze_breakout, breakout_volume_confirm, mfi_strong, above_ichimoku_cloud",gap_chase_after_blowout,
15,2454,聯發科,,1604.7380598662148,False,4265.0,4375.0,4440.0,4180.0,19540872,1.5756453576350546,75.91130401467036,57.13761179305483,254.0481833446279,443.0480296523997,40.20520776803528,0.9652165315586664,86.94029850746269,93.58915300043007,3356.974431035162,2578.524188347716,1.0,0.0,5.0,1367297.0,-598432.0,207280.0,-1,14,,,0.2684399449680934,0.3518225039619651,0.0047114252061248,50.4,,,"above_ema60, ema60_gt_ema120, volume_break, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, adx_trending, stronger_than_market, obv_uptrend, dealer_buy_3d, breakout_volume_confirm, mfi_strong, above_ichimoku_cloud",open_high_close_low,
16,2302,麗正,,1597.4069910420988,False,33.95,30.95,33.95,30.75,18505491,2.943206348256876,85.93361107940922,35.78424134314888,1.779810478273682,2.954176494886457,0.9594416389701405,1.1163255981698514,100.0,94.73684210526336,24.81232731140126,21.308748047395238,1.0,0.0,4.0,676568.0,0.0,13612.0,-1,14,,,0.271906862163813,0.3552894211576847,0.098705501618123,76.7,,,"above_ema60, ema60_gt_ema120, volume_break, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, adx_trending, stronger_than_market, obv_uptrend, dealer_buy_3d, breakout_volume_confirm, mfi_strong, above_ichimoku_cloud",,
17,3588,通嘉,,1597.1269076053209,False,65.1,65.3,66.7,64.0,732396,1.0938868136108402,61.77716125675611,29.56007915238352,2.9517442995605103,1.705559963860409,0.0328795765038434,1.0216083473158697,82.97872340425525,87.3794933919847,61.36341752634373,57.25653431897729,5.0,0.0,0.0,2240.0,0.0,-1000.0,-1,14,,,0.0162796031682903,0.099662162162162,0.0046296296296295,18.6,,,"macd_golden_cross, above_ema60, ema60_gt_ema120, rsi_strong, breakout_20d, market_above_ma60, hist_turn_positive, foreign_buy_3d, adx_trending, stronger_than_market, obv_uptrend, bb_squeeze_breakout, mfi_strong, above_ichimoku_cloud",long_upper_shadow,
18,3149,正達,,1585.5310223827792,False,68.0,65.0,68.0,61.8,40572084,1.7489378000947886,75.27220619281505,38.73284145768883,3.762403776658384,4.515130698007852,1.2910692084996702,1.087712441872051,100.0,94.04761904761897,55.24902446580539,49.79901903219674,4.0,0.0,0.0,428826.0,0.0,-85988.0,-1,14,,,0.0930880292414224,0.1764705882352941,0.0461538461538462,44.7,,,"above_ema60, ema60_gt_ema120, volume_break, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, foreign_buy_3d, adx_trending, stronger_than_market, obv_uptrend, breakout_volume_confirm, mfi_strong, above_ichimoku_cloud",,
19,3312,弘憶股,,1582.2382881690096,False,52.8,51.1,53.9,50.3,8654781,2.234389317040785,73.87782186529294,46.67635950726056,2.435685854698146,2.5069009067112944,0.4883250702990285,1.0845531079414992,87.77777777777777,77.35042735042771,45.82328869055627,41.95324890277054,0.0,0.0,3.0,-921499.0,0.0,9031.0,-1,14,,,0.082180354913413,0.1655629139072847,0.0476190476190476,51.4,,,"above_ema60, ema60_gt_ema120, volume_break, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, adx_trending, stronger_than_market, obv_uptrend, dealer_buy_3d, breakout_volume_confirm, mfi_strong, above_ichimoku_cloud",,
20,2404,漢唐,,1582.1630951041468,False,1265.0,1285.0,1345.0,1250.0,8007559,1.6170508011622444,78.80130475749228,31.51530901132909,60.83993795483205,58.720571947233566,25.58589686739757,1.160772157248152,77.96143250688705,87.10071784902539,1063.7456675819865,999.5648247822804,7.0,0.0,0.0,2493890.0,-555248.0,-86959.0,-1,14,,,0.1447727808119534,0.2281553398058251,0.0160642570281124,48.8,,,"above_ema60, ema60_gt_ema120, volume_break, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, foreign_buy_3d, adx_trending, stronger_than_market, obv_uptrend, breakout_volume_confirm, mfi_strong, above_ichimoku_cloud","long_upper_shadow, open_high_close_low",
21,3708,上緯投控,,1578.753690313603,False,131.5,125.5,135.5,124.0,4629976,3.568576035592838,63.75066039074794,17.55337200424819,5.882965409799953,1.5219725811111005,1.2414108573355471,1.1217300453943275,83.33333333333333,76.90058479532188,121.60310351463598,119.8802352399552,1.0,0.0,5.0,885687.0,-1000.0,322369.0,-1,14,,,0.0551455795342668,0.1385281385281385,0.052,62.5,,,"above_ema60, ema60_gt_ema120, volume_break, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, stronger_than_market, obv_uptrend, dealer_buy_3d, bb_squeeze_breakout, breakout_volume_confirm, mfi_strong, above_ichimoku_cloud",,
22,3704,合勤控,,1565.5613086112326,False,45.25,43.9,46.65,43.2,9352287,1.882884702641291,79.1417872693921,31.30431328473166,1.985115868660821,2.1740252536346034,0.8797925643131761,1.074056484463323,85.92964824120604,90.4371839613268,38.86240746109341,36.30629526262633,1.0,0.0,4.0,1616000.0,0.0,18730.0,-1,14,,,0.1042814830008789,0.1876640419947506,0.0402298850574711,47.4,,,"above_ema60, ema60_gt_ema120, volume_break, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, adx_trending, stronger_than_market, obv_uptrend, dealer_buy_3d, breakout_volume_confirm, mfi_strong, above_ichimoku_cloud",,
23,4958,臻鼎-KY,,1518.4970949492874,False,540.0,529.0,542.0,516.0,41904053,0.785758090370538,77.04816621025952,51.78682747250909,32.20058136948308,51.78580118689115,7.167735037146088,1.0950739649617176,90.3225806451613,91.57706093189942,430.5437422132893,330.82495167093765,1.0,6.0,1.0,3230273.0,272000.0,163084.0,-1,13,,,0.2385268657307304,0.3219094247246021,0.0207939508506616,38.9,,,"above_ema60, ema60_gt_ema120, rsi_strong, breakout_20d, market_above_ma60, liquidity_ok, adx_trending, stronger_than_market, obv_uptrend, invest_trust_buy_2d, bb_squeeze_breakout, mfi_strong, above_ichimoku_cloud",,
